"종목번호","종목명"
"005930","삼성전자"
"000660","SK하이닉스"
"005935","삼성전자우"
"005380","현대차"
"015760","한국전력"
"035420","NAVER"
"028260","삼성물산"
"005490","POSCO"
"012330","현대모비스"
"055550","신한지주"
"032830","삼성생명"
"105560","KB금융"
"051910","LG화학"
"017670","SK텔레콤"
"090430","아모레퍼시픽"
"034730","SK"
"096770","SK이노베이션"
"000270","기아차"
"011170","롯데케미칼"
"033780","KT&G"
"051900","LG생활건강"
"000810","삼성화재"
"068270","셀트리온"
"207940","삼성바이오로직스"
"003550","LG"
"034220","LG디스플레이"
"009540","현대중공업"
"086790","하나금융지주"
"018260","삼성에스디에스"
"002790","아모레G"
"066570","LG전자"
"010950","S-Oil"
"010130","고려아연"
"000030","우리은행"
"006400","삼성SDI"
"004020","현대제철"
"030200","KT"
"161390","한국타이어"
"035250","강원랜드"
"024110","기업은행"
"023530","롯데쇼핑"
"036570","엔씨소프트"
"021240","코웨이"
"047810","한국항공우주"
"006800","미래에셋대우"
"139480","이마트"
"086280","현대글로비스"
"088350","한화생명"
"035720","카카오"
"001040","CJ"
"032640","LG유플러스"
"009240","한샘"
"000720","현대건설"
"004800","효성"
"078930","GS"
"097950","CJ제일제당"
"018880","한온시스템"
"029780","삼성카드"
"027410","BGF리테일"
"009830","한화케미칼"
"036460","한국가스공사"
"005830","동부화재"
"009150","삼성전기"
"010140","삼성중공업"
"007070","GS리테일"
"001800","오리온"
"241560","두산밥캣"
"002380","KCC"
"000120","CJ대한통운"
"005387","현대차2우B"
"008930","한미사이언스"
"130960","CJ E&M"
"004990","롯데제과"
"012630","현대산업"
"005940","NH투자증권"
"012750","에스원"
"128940","한미약품"
"034020","두산중공업"
"047050","포스코대우"
"042660","대우조선해양"
"000210","대림산업"
"138930","BNK금융지주"
"001450","현대해상"
"088980","맥쿼리인프라"
"000880","한화"
"011780","금호석유"
"071050","한국금융지주"
"026960","동서"
"016360","삼성증권"
"086900","메디톡스"
"028050","삼성엔지니어링"
"011070","LG이노텍"
"051600","한전KPS"
"204320","만도"
"007310","오뚜기"
"005385","현대차우"
"012450","한화테크윈"
"030000","제일기획"
"069960","현대백화점"
"000100","유한양행"
"047040","대우건설"
"000150","두산"
"004370","농심"
"010060","OCI"
"036490","SK머티리얼즈"
"028670","팬오션"
"006360","GS건설"
"006260","LS"
"000670","영풍"
"003490","대한항공"
"016170","로엔"
"000240","한국타이어월드와이드"
"090435","아모레퍼시픽우"
"006650","대한유화"
"120110","코오롱인더"
"042670","두산인프라코어"
"005300","롯데칠성"
"008560","메리츠종금증권"
"064350","현대로템"
"139130","DGB금융지주"
"041960","코미팜"
"084990","바이로메드"
"008770","호텔신라"
"011210","현대위아"
"001440","대한전선"
"004170","신세계"
"006280","녹십자"
"079160","CJ CGV"
"002550","KB손해보험"
"000060","메리츠화재"
"001740","SK네트웍스"
"005440","현대그린푸드"
"079550","LIG넥스원"
"138040","메리츠금융지주"
"039490","키움증권"
"014820","동원시스템즈"
"005610","SPC삼립"
"006120","SK케미칼"
"017800","현대엘리베이"
"011200","현대상선"
"000080","하이트진로"
"161890","한국콜마"
"051915","LG화학우"
"003520","영진약품"
"003690","코리안리"
"002350","넥센타이어"
"057050","현대홈쇼핑"
"073240","금호타이어"
"010780","아이에스동서"
"056190","에스에프에이"
"010120","LS산전"
"001120","LG상사"
"192400","쿠쿠전자"
"003410","쌍용양회"
"192820","코스맥스"
"034230","파라다이스"
"103140","풍산"
"114090","GKL"
"111770","영원무역"
"010620","현대미포조선"
"028150","GS홈쇼핑"
"011790","SKC"
"001230","동국제강"
"006040","동원산업"
"214320","이노션"
"078340","컴투스"
"051905","LG생활건강우"
"003240","태광산업"
"145020","휴젤"
"082640","동양생명"
"003620","쌍용차"
"181710","NHN엔터테인먼트"
"035760","CJ오쇼핑"
"005250","녹십자홀딩스"
"039030","이오테크닉스"
"071840","롯데하이마트"
"145990","삼양사"
"240810","원익IPS"
"018670","SK가스"
"185750","종근당"
"052690","한전기술"
"180640","한진칼"
"105630","한세실업"
"000070","삼양홀딩스"
"096530","씨젠"
"108670","LG하우시스"
"008000","도레이케미칼"
"046890","서울반도체"
"002620","제일약품"
"020560","아시아나항공"
"001430","세아베스틸"
"175330","JB금융지주"
"014680","한솔케미칼"
"022100","포스코 ICT"
"001680","대상"
"036830","솔브레인"
"108230","톱텍"
"002270","롯데푸드"
"001060","JW중외제약"
"085620","미래에셋생명"
"069260","휴켐스"
"237690","에스티팜"
"039130","하나투어"
"069620","대웅제약"
"023590","다우기술"
"003000","부광약품"
"102940","코오롱생명과학"
"049770","동원F&B"
"048260","오스템임플란트"
"081660","휠라코리아"
"020000","한섬"
"004000","롯데정밀화학"
"009970","영원무역홀딩스"
"053210","스카이라이프"
"071320","지역난방공사"
"000990","동부하이텍"
"000640","동아쏘시오홀딩스"
"005850","에스엘"
"115390","락앤락"
"170900","동아에스티"
"025540","한국단자"
"002240","고려제강"
"214370","케어젠"
"037560","CJ헬로비전"
"034830","한국토지신탁"
"007570","일양약품"
"003670","포스코켐텍"
"100120","뷰웍스"
"019680","대교"
"006840","AK홀딩스"
"095700","제넥신"
"068760","셀트리온제약"
"089590","제주항공"
"192080","더블유게임즈"
"054620","AP시스템"
"226320","잇츠스킨"
"002020","코오롱"
"123890","한국자산신탁"
"001520","동양"
"003470","유안타증권"
"012510","더존비즈온"
"060980","한라홀딩스"
"034310","NICE"
"053800","안랩"
"033920","무학"
"064960","S&T모티브"
"093370","후성"
"005180","빙그레"
"215600","신라젠"
"009450","경동나비엔"
"093050","LF"
"000370","한화손해보험"
"007340","동아타이어"
"009420","한올바이오파마"
"085660","차바이오텍"
"003030","세아제강"
"098460","고영"
"005990","매일유업"
"058470","리노공업"
"006060","화승인더"
"000815","삼성화재우"
"091700","파트론"
"222040","뉴트리바이오텍"
"069080","웹젠"
"003540","대신증권"
"020150","일진머티리얼즈"
"237880","클리오"
"101530","해태제과식품"
"003300","한일시멘트"
"002960","한국쉘석유"
"036930","주성엔지니어링"
"017810","풀무원"
"192530","광주은행"
"072710","농심홀딩스"
"006730","서부T&D"
"003920","남양유업"
"031440","신세계푸드"
"039840","디오"
"021960","KB캐피탈"
"029530","신도리코"
"028300","에이치엘비"
"138250","엔에스쇼핑"
"041510","에스엠"
"025980","에머슨퍼시픽"
"051370","인터플렉스"
"108320","실리콘웍스"
"043150","바텍"
"058650","세아홀딩스"
"001720","신영증권"
"003090","대웅"
"200130","콜마비앤에이치"
"053030","바이넥스"
"004490","세방전지"
"005740","크라운제과"
"023890","아트라스BX"
"086450","동국제약"
"005290","동진쎄미켐"
"036420","제이콘텐트리"
"029460","케이씨텍"
"025900","동화기업"
"006390","현대시멘트"
"096760","JW홀딩스"
"066575","LG전자우"
"034120","SBS"
"064240","홈캐스트"
"032190","다우데이타"
"095610","테스"
"030530","원익홀딩스"
"126560","현대에이치씨엔"
"003850","보령제약"
"044490","태웅"
"065620","제낙스"
"122870","와이지엔터테인먼트"
"178920","SKC코오롱PI"
"015750","성우하이텍"
"025860","남해화학"
"005500","삼진제약"
"031430","신세계인터내셔날"
"210980","SK디앤디"
"005880","대한해운"
"206640","바디텍메드"
"051500","CJ프레시웨이"
"009290","광동제약"
"064760","티씨케이"
"036580","팜스코"
"024720","한국콜마홀딩스"
"083790","크리스탈"
"025770","한국정보통신"
"048530","인트론바이오"
"078160","메디포스트"
"078020","이베스트투자증권"
"030190","NICE평가정보"
"001780","알루코"
"213500","한솔제지"
"008490","서흥"
"119610","인터로조"
"112040","위메이드"
"004430","송원산업"
"241590","화승엔터프라이즈"
"017940","E1"
"008060","대덕전자"
"070960","용평리조트"
"005720","넥센"
"003530","한화투자증권"
"080160","모두투어"
"014830","유니드"
"017390","서울가스"
"079430","현대리바트"
"115960","연우"
"004690","삼천리"
"009410","태영건설"
"215000","골프존"
"200880","서연이화"
"099190","아이센스"
"104830","원익머트리얼즈"
"065160","에프티이앤이"
"033660","아주캐피탈"
"037710","광주신세계"
"016450","한세예스24홀딩스"
"042700","한미반도체"
"000050","경방"
"122900","아이마켓코리아"
"067080","대화제약"
"084370","유진테크"
"082270","젬백스"
"005810","풍산홀딩스"
"025620","제이준"
"015350","부산가스"
"101060","SBS미디어홀딩스"
"092040","아미코젠"
"00088K","한화3우B"
"030520","한글과컴퓨터"
"161000","애경유화"
"013120","동원개발"
"066970","엘앤에프"
"016800","퍼시스"
"078150","HB테크놀러지"
"115450","지트리비앤티"
"182400","에이티젠"
"036540","SFA반도체"
"080420","모다이노칩"
"214420","토니모리"
"102460","이연제약"
"084690","대상홀딩스"
"024660","하림홀딩스"
"016250","이테크건설"
"001510","SK증권"
"900140","코라오홀딩스"
"094800","맵스리얼티1"
"003220","대원제약"
"038540","텍셀네트컴"
"002795","아모레G우"
"007160","사조산업"
"089140","넥스턴"
"088390","이녹스"
"016380","동부제철"
"107590","미원에스씨"
"023410","유진기업"
"086980","쇼박스"
"008730","율촌화학"
"249420","일동제약"
"090470","제이스텍"
"011930","신성솔라에너지"
"214450","파마리서치프로덕트"
"001725","신영증권우"
"032350","롯데관광개발"
"003800","에이스침대"
"058820","CMG제약"
"000480","조선내화"
"038500","동양시멘트"
"004710","한솔테크닉스"
"033240","자화전자"
"104700","한국철강"
"002990","금호산업"
"005090","삼광글라스"
"016100","리더스코스메틱"
"002320","한진"
"000400","롯데손해보험"
"085370","루트로닉"
"003230","삼양식품"
"049960","쎌바이오텍"
"003120","일성신약"
"097230","한진중공업"
"192440","슈피겐코리아"
"001130","대한제분"
"243070","휴온스"
"007700","F&F"
"241710","코스메카코리아"
"041140","넥슨지티"
"006380","카프로"
"095720","웅진씽크빅"
"010050","우리종금"
"041830","인바디"
"152330","코리아오토글라스"
"089600","나스미디어"
"225530","보광산업"
"035810","이지바이오"
"213420","덕산네오룩스"
"007810","코리아써키트"
"214390","경보제약"
"025000","KPX케미칼"
"044820","코스맥스비티아이"
"007690","국도화학"
"228850","레이언스"
"141080","레고켐바이오"
"063080","게임빌"
"031390","녹십자셀"
"900290","GRT"
"009680","모토닉"
"171120","라이온켐텍"
"108790","인터파크"
"168330","내츄럴엔도텍"
"100130","동국S&C"
"035600","KG이니시스"
"003570","S&T중공업"
"000155","두산우"
"123100","테라세미콘"
"002810","삼영무역"
"121440","골프존유원홀딩스"
"003060","슈넬생명과학"
"001630","종근당홀딩스"
"003200","일신방직"
"004360","세방"
"030610","교보증권"
"004150","한솔홀딩스"
"001500","HMC투자증권"
"102710","이엔에프테크놀로지"
"122990","와이솔"
"033290","코웰패션"
"201490","미투온"
"115160","휴맥스"
"011760","현대상사"
"054950","제이브이엠"
"014620","성광벤드"
"057500","SKC 솔믹스"
"019170","신풍제약"
"112610","씨에스윈드"
"079980","휴비스"
"016580","환인제약"
"003280","흥아해운"
"078520","에이블씨엔씨"
"065060","지엔코"
"017960","한국카본"
"035080","인터파크홀딩스"
"036630","세종텔레콤"
"090460","비에이치"
"002390","한독"
"193250","와이제이엠게임즈"
"002780","진흥기업"
"000250","삼천당제약"
"005690","파미셀"
"038290","마크로젠"
"036800","나이스정보통신"
"033270","유나이티드제약"
"084110","휴온스글로벌"
"031980","피에스케이"
"144510","녹십자랩셀"
"015860","일진홀딩스"
"067290","JW신약"
"102260","동성코퍼레이션"
"068240","다원시스"
"012690","모나리자"
"089470","현대EP"
"004700","조광피혁"
"002000","한국유리"
"092230","KPX홀딩스"
"013030","하이록코리아"
"004130","대덕GDS"
"002250","알보젠코리아"
"043370","평화정공"
"002630","오리엔트바이오"
"074430","아미노로직스"
"000430","대원강업"
"141000","비아트론"
"000140","하이트진로홀딩스"
"001250","GS글로벌"
"136480","하림"
"109960","에이프로젠 H&G"
"087010","펩트론"
"012320","경동가스"
"183490","엔지켐생명과학"
"036530","S&T홀딩스"
"160550","NEW"
"060720","KH바텍"
"004970","신라교역"
"040910","아이씨디"
"003560","IHQ"
"001200","유진투자증권"
"007210","벽산"
"007390","네이처셀"
"088130","동아엘텍"
"222800","심텍"
"007820","에스엠코어"
"114570","지스마트글로벌"
"078070","유비쿼스"
"036030","KTH"
"052260","SK바이오랜드"
"900300","오가닉티코스메틱"
"013990","아가방컴퍼니"
"200230","텔콘"
"054670","대한뉴팜"
"067390","아스트"
"007860","서연"
"005950","이수화학"
"114120","크루셜텍"
"009580","무림P&P"
"123690","한국화장품"
"136490","선진"
"023160","태광"
"095570","AJ네트웍스"
"095660","네오위즈게임즈"
"000680","LS네트웍스"
"084010","대한제강"
"004060","SG세계물산"
"138490","코오롱플라스틱"
"060250","NHN한국사이버결제"
"049180","셀루메드"
"200670","휴메딕스"
"004440","대림씨엔에스"
"039570","아이콘트롤스"
"068790","DMS"
"000540","흥국화재"
"089030","테크윙"
"001880","삼호"
"086520","에코프로"
"005680","삼영전자"
"011160","두산건설"
"183190","아세아시멘트"
"109610","에스와이패널"
"000860","강남제비스코"
"001460","BYC"
"011040","경동제약"
"067160","아프리카TV"
"234080","JW생명과학"
"067000","조이시티"
"067280","멀티캠퍼스"
"004250","NPC"
"082920","비츠로셀"
"074600","원익QnC"
"195870","해성디에스"
"010690","화신"
"900260","로스웰"
"000020","동화약품"
"060300","레드로버"
"082740","두산엔진"
"060150","인선이엔티"
"005160","동국산업"
"052330","코텍"
"115180","큐리언트"
"086390","유니테스트"
"102280","쌍방울"
"018120","진로발효"
"010955","S-Oil우"
"054050","농우바이오"
"052710","아모텍"
"027050","코리아나"
"015360","예스코"
"143210","핸즈코퍼레이션"
"143240","사람인에이치알"
"097955","CJ제일제당 우"
"052420","오성엘에스티"
"011370","서한"
"019210","와이지-원"
"064260","다날"
"137940","넥스트아이"
"000970","한국주철관"
"001940","KISCO홀딩스"
"033160","엠케이전자"
"000390","삼화페인트"
"001380","SG충방"
"011280","태림포장"
"036190","금화피에스시"
"018310","삼목에스폼"
"100220","비상교육"
"002030","아세아"
"013520","화승알앤에이"
"000180","성창기업지주"
"061460","한진피앤씨"
"040350","큐로컴"
"033640","네패스"
"217270","넵튠"
"005389","현대차3우B"
"900250","크리스탈신소재"
"095340","ISC"
"035890","서희건설"
"004380","삼익THK"
"900120","씨케이에이치"
"004540","깨끗한나라"
"900270","헝셩그룹"
"037950","엘컴텍"
"067830","세이브존I&C"
"238090","앤디포스"
"003070","코오롱글로벌"
"168490","한국패러랠"
"033560","블루콤"
"011690","유양디앤유"
"114810","아이원스"
"007660","이수페타시스"
"005960","동부건설"
"035150","백산"
"044450","KSS해운"
"027390","한화갤러리아타임월드"
"025560","미래산업"
"093920","서원인텍"
"096630","에스코넥"
"004840","DRB동일"
"001790","대한제당"
"215360","우리산업"
"123420","선데이토즈"
"053300","한국정보인증"
"049950","미래컴퍼니"
"014470","부방"
"084680","이월드"
"004560","현대비앤지스틸"
"003545","대신증권우"
"950140","잉글우드랩(Reg.S)"
"001270","부국증권"
"203690","프로스테믹스"
"000320","노루홀딩스"
"069110","코스온"
"041440","에버다임"
"012610","경인양행"
"084870","TBH글로벌"
"004890","동일산업"
"111110","호전실업"
"191420","테고사이언스"
"095270","웨이브일렉트로"
"214180","민앤지"
"046210","파나진"
"117930","한진해운"
"002450","삼익악기"
"013570","디와이"
"033530","세종공업"
"002840","미원상사"
"194370","제이에스코퍼레이션"
"045100","한양이엔지"
"021320","KCC건설"
"034950","한국기업평가"
"005870","휴니드"
"066980","브레인콘텐츠"
"068400","AJ렌터카"
"031330","에스에이엠티"
"077360","덕산하이메탈"
"229640","LS전선아시아"
"220630","해마로푸드서비스"
"014280","금강공업"
"030210","KTB투자증권"
"005980","성지건설"
"035620","바른손이앤에이"
"092200","디아이씨"
"002310","아세아제지"
"118000","우리들휴브레인"
"038060","루멘스"
"097520","엠씨넥스"
"008600","윌비스"
"052790","액토즈소프트"
"230360","에코마케팅"
"054780","키이스트"
"020760","일진디스플"
"069730","DSR제강"
"019440","세아특수강"
"079370","제우스"
"100250","진양홀딩스"
"033500","동성화인텍"
"060240","룽투코리아"
"021820","세원정공"
"016880","웅진"
"196170","알테오젠"
"065680","우주일렉트로"
"023430","아이이"
"144960","뉴파워프라즈마"
"005390","신성통상"
"012700","리드코프"
"086960","MDS테크"
"103590","일진전기"
"104480","티케이케미칼"
"111820","처음앤씨"
"058430","포스코강판"
"002360","SH에너지화학"
"205500","액션스퀘어"
"008290","원풍물산"
"000700","유수홀딩스"
"011000","진원생명과학"
"077500","유니퀘스트"
"053450","세코닉스"
"060560","홈센타홀딩스"
"092730","네오팜"
"102120","어보브반도체"
"046140","SBS콘텐츠허브"
"036200","유니셈"
"117580","대성에너지"
"010820","퍼스텍"
"024950","삼천리자전거"
"077970","STX엔진"
"004720","우리들제약"
"199800","툴젠"
"049070","인탑스"
"002900","동양물산"
"046440","KG모빌리언스"
"096690","제이스테판"
"003460","유화증권"
"017890","한국알콜"
"009440","KC그린홀딩스"
"014200","광림"
"071200","인피니트헬스케어"
"007720","대명코퍼레이션"
"012200","계양전기"
"023910","대한약품"
"060590","씨티씨바이오"
"155660","DSR"
"063170","서울옥션"
"190510","나무가"
"100700","세운메디칼"
"140070","서플러스글로벌"
"091090","세원셀론텍"
"002140","고려산업"
"036890","진성티이씨"
"004980","성신양회"
"005710","대원산업"
"005800","신영와코루"
"000490","대동공업"
"151910","나노스"
"001045","CJ우"
"007980","태평양물산"
"066700","테라젠이텍스"
"092070","디엔에프"
"039200","오스코텍"
"069640","엠케이트렌드"
"206560","덱스터"
"035900","JYP Ent."
"140410","메지온"
"166480","코아스템"
"014100","보령메디앙스"
"002460","화성산업"
"090350","노루페인트"
"006220","제주은행"
"083310","엘오티베큠"
"001390","KG케미칼"
"003650","미창석유"
"043290","케이맥"
"097780","에스맥"
"063570","한국전자금융"
"038880","아이에이"
"052400","코나아이"
"002300","한국제지"
"001360","삼성제약"
"080000","에스엔유"
"900040","차이나그레이트"
"034300","신세계건설"
"101330","모베이스"
"195990","유지인트"
"042040","케이피엠테크"
"086890","이수앱지스"
"016090","대현"
"096640","멜파스"
"000230","일동홀딩스"
"054800","아이디스홀딩스"
"015710","코콤"
"187420","제노포커스"
"002170","삼양통상"
"065510","휴비츠"
"900280","골든센츄리"
"083650","비에이치아이"
"194480","데브시스터즈"
"950130","엑세스바이오"
"014790","한라"
"048870","코아로직"
"002150","도화엔지니어링"
"149940","모다정보통신"
"130660","한전산업"
"900100","뉴프라이드"
"012170","키위미디어그룹"
"072020","중앙백신"
"016610","동부증권"
"134380","미원화학"
"104200","벅스"
"016710","대성홀딩스"
"075180","새론오토모티브"
"228340","동양파일"
"006490","인스코비"
"065150","MPK"
"121600","나노신소재"
"018700","바른손"
"004960","한신공영"
"004770","써니전자"
"094480","갤럭시아컴즈"
"061970","엘비세미콘"
"001540","안국약품"
"042520","한스바이오메드"
"053980","오상자이엘"
"079950","인베니아"
"095500","미래나노텍"
"038390","레드캡투어"
"052020","에스티큐브"
"108380","대양전기공업"
"047770","코데즈컴바인"
"006370","대구백화점"
"248170","샘표식품"
"065660","안트로젠"
"050110","캠시스"
"004650","창해에탄올"
"078890","가온미디어"
"026040","제이에스티나"
"047080","한빛소프트"
"042420","네오위즈홀딩스"
"092130","이크레더블"
"200780","비씨월드제약"
"026890","디피씨"
"032500","케이엠더블유"
"091120","이엠텍"
"100840","S&TC"
"029960","코엔텍"
"036560","영풍정밀"
"217730","강스템바이오텍"
"023000","삼원강재"
"02826K","삼성물산우B"
"048550","SM C&C"
"071055","한국금융지주우"
"002880","대유에이텍"
"012030","동부"
"017250","인터엠"
"012160","영흥철강"
"024090","디씨엠"
"006910","보성파워텍"
"143540","영우디에스피"
"032620","유비케어"
"072870","메가스터디"
"041460","한국전자인증"
"239610","에이치엘사이언스"
"035610","솔본"
"111870","삼본정밀전자"
"015890","태경산업"
"053350","이니텍"
"073560","우리손에프앤지"
"003160","디아이"
"043610","KT뮤직"
"008350","남선알미늄"
"159580","제로투세븐"
"037270","YG PLUS"
"101490","에스앤에스텍"
"000040","KR모터스"
"227840","현대씨앤에프"
"221840","하이즈항공"
"003830","대한화섬"
"043580","에임하이"
"041650","상신브레이크"
"092440","기신정기"
"044340","위닉스"
"034810","해성산업"
"039440","에스티아이"
"067630","에이치엘비생명과학"
"011810","STX"
"051360","토비스"
"192250","케이사인"
"048410","현대아이비티"
"001530","동일방직"
"064520","바른전자"
"082210","옵트론텍"
"067310","하나마이크론"
"214430","아이쓰리시스템"
"060280","큐렉소"
"065940","케이에스씨비"
"123860","아나패스"
"047310","파워로직스"
"011090","에넥스"
"039560","다산네트웍스"
"020710","시공테크"
"006090","사조오양"
"140860","파크시스템스"
"131030","디에이치피코리아"
"085310","엔케이"
"900180","완리"
"204990","현성바이탈"
"136540","윈스"
"236200","슈프리마"
"152550","한국ANKOR유전"
"003480","한진중공업홀딩스"
"041590","젬백스테크놀러지"
"045390","대아티아이"
"058400","KNN"
"003350","한국화장품제조"
"009160","SIMPAC"
"034590","인천도시가스"
"009300","삼아제약"
"000650","천일고속"
"023760","한국캐피탈"
"133750","메가엠디"
"035000","지투알"
"033170","시그네틱스"
"066910","손오공"
"005430","한국공항"
"067370","선바이오"
"039980","리노스"
"094280","효성ITX"
"002700","신일산업"
"002820","선창산업"
"004310","현대약품"
"083930","아바코"
"024800","유성티엔에스"
"003555","LG우"
"123410","코리아에프티"
"204630","화이브라더스"
"163560","동일고무벨트"
"004910","조광페인트"
"005945","NH투자증권우"
"001020","페이퍼코리아"
"058530","이큐스앤자루"
"078140","대봉엘에스"
"013310","아진산업"
"226350","아이엠텍"
"067170","오텍"
"009310","참엔지니어링"
"104540","코렌텍"
"087600","픽셀플러스"
"099320","쎄트렉아이"
"090360","로보스타"
"004870","티웨이홀딩스"
"005750","대림B&Co"
"900050","중국원양자원"
"126600","코프라"
"056700","신화인터텍"
"040610","SG&G"
"014710","사조씨푸드"
"017900","광전자"
"003310","대주산업"
"211270","AP위성"
"067990","도이치모터스"
"022220","정산애강"
"138690","엘아이에스"
"222110","팬젠"
"900080","에스앤씨엔진그룹"
"025750","한솔홈데코"
"002100","경농"
"151860","KG ETS"
"043650","국순당"
"058860","케이티스"
"072470","우리산업홀딩스"
"049520","유아이엘"
"049480","오픈베이스"
"034940","조아제약"
"011150","CJ씨푸드"
"017040","광명전기"
"032560","황금에스티"
"065650","메디프론"
"101170","우림기계"
"043100","솔고바이오"
"069510","에스텍"
"047400","쌍용머티리얼"
"094850","참좋은레져"
"206650","유바이오로직스"
"053590","한국테크놀로지"
"003100","선광"
"027710","팜스토리"
"093190","빅솔론"
"018500","동원금속"
"079650","서산"
"066620","국보디자인"
"035510","신세계 I&C"
"066270","SK컴즈"
"040420","정상제이엘에스"
"064800","필링크"
"222420","쎄노텍"
"189300","인텔리안테크"
"122640","예스티"
"041920","메디아나"
"009520","포스코엠텍"
"013580","계룡건설"
"015260","에이엔피"
"019660","글로본"
"024810","이화전기"
"033320","제이씨현시스템"
"208640","썸에이지"
"003080","성보화학"
"039860","나노엔텍"
"068330","일신바이오"
"216050","인크로스"
"194510","파티게임즈"
"126700","하이비젼시스템"
"089980","상아프론테크"
"155650","와이엠씨"
"131370","알서포트"
"066110","한프"
"096240","청담러닝"
"068290","삼성출판사"
"020180","대신정보통신"
"112240","에스에프씨"
"075580","세진중공업"
"041520","이라이콤"
"004200","고려개발"
"026180","현대정보기술"
"054210","이랜텍"
"016670","포비스티앤씨"
"064550","바이오니아"
"036000","예림당"
"025440","대성엘텍"
"117670","알파홀딩스"
"099660","한솔신텍"
"067570","엔브이에이치코리아"
"100090","삼강엠앤티"
"002920","유성기업"
"058850","KTcs"
"038870","에코바이오"
"017180","명문제약"
"233990","하우동천"
"000850","화천기공"
"000890","보해양조"
"147760","마이크로프랜드"
"215200","메가스터디교육"
"065130","탑엔지니어링"
"014530","극동유화"
"061040","알에프텍"
"002600","조흥"
"103130","웅진에너지"
"040160","누리텔레콤"
"058610","에스피지"
"060310","3S"
"036710","심텍홀딩스"
"042370","비츠로테크"
"241790","오션브릿지"
"234920","자이글"
"046070","코다코"
"063160","종근당바이오"
"009200","무림페이퍼"
"205100","엑셈"
"039290","인포뱅크"
"009270","신원"
"131290","티에스이"
"241690","유니테크노"
"037460","삼지전자"
"009770","삼정펄프"
"004780","대륙제관"
"096775","SK이노베이션우"
"018470","조일알미늄"
"003960","사조대림"
"000215","대림산업우"
"066900","디에이피"
"054450","텔레칩스"
"069920","아이에스이커머스"
"009780","엠에스씨"
"173940","에프엔씨엔터"
"053610","프로텍"
"005010","휴스틸"
"900070","글로벌에스엠"
"089230","THE E&M"
"122450","KMH"
"028100","동아지질"
"160600","에스엔텍"
"033130","디지틀조선"
"078000","텔코웨어"
"039830","오로라"
"091970","나노캠텍"
"007110","일신석재"
"037350","성도이엔지"
"007540","샘표"
"056090","유앤아이"
"225650","쿠첸"
"049430","코메론"
"128820","대성산업"
"071460","대유위니아"
"131760","파인텍"
"071280","로체시스템즈"
"225330","씨엠에스에듀"
"014160","대영포장"
"001820","삼화콘덴서"
"046310","백금T&A"
"061250","화일약품"
"045970","코아시아홀딩스"
"008260","NI스틸"
"053690","한미글로벌"
"033110","이디"
"008970","동양철관"
"049470","SGA"
"040300","YTN"
"080520","오디텍"
"206400","엔터메이트"
"060570","아이리버"
"084730","팅크웨어"
"014970","삼륭물산"
"131970","테스나"
"009070","KCTC"
"053620","태양"
"149950","아바텍"
"006980","우성사료"
"079960","동양이엔피"
"017550","수산중공업"
"041910","에스텍파마"
"160980","싸이맥스"
"001570","금양"
"024890","대원화성"
